EPISODE_ID,EVENT_ID,LONGITUDE,LATITUDE,STATE,LOCATION,ZIPCODE
1113005,5240086,-79.55,40.3,PENNSYLVANIA,GRAYSVILLE,4215601
51865,308954,-75.33,41.3,PENNSYLVANIA,NEWFOUNDLAND,4218445
53233,318351,-77.27,41.2,PENNSYLVANIA,JERSEY SHR,4217740
53233,318350,-76.96,40.15,PENNSYLVANIA,SIDDONSBURG,4217019
1113005,5240085,-79.73333000000001,40.6,PENNSYLVANIA,GREENSBURG,4215068
51865,308953,-76.52,41.99,PENNSYLVANIA,SOUTH WAVERLY,4218840
1217720,5527104,-77.18333,40.0,PENNSYLVANIA,BENDERSVILLE,4217324
1103887,5158345,-76.38333,40.55,PENNSYLVANIA,PINE GROVE,4217963
1217719,5527103,-77.78333,40.03333,PENNSYLVANIA,CHAMBERSBURG,4217265
1113022,5240650,-75.25,41.23333,PENNSYLVANIA,SKYTOP,4218325
51865,308952,-76.0,41.02,PENNSYLVANIA,DRUMS,4218222
1113005,5240087,-80.4,39.93333,PENNSYLVANIA,MONONGAHELA,4215337
1113005,5240088,-79.93333,40.2,PENNSYLVANIA,UNIONTOWN,4215063
1113005,5240089,-79.71667,39.9,PENNSYLVANIA,SCOTTDALE,4215401
1095967,5148225,-80.06667,41.8,PENNSYLVANIA,CAMBRIDGE SPGS,4216403
97386,588032,-77.7183,39.7245,PENNSYLVANIA,MIDDLEBURG,4217268
1217727,5527111,-76.03333,39.98333,PENNSYLVANIA,GAP,4217535
1113005,5240090,-79.6,40.1,PENNSYLVANIA,CECIL,4215683
1113005,5240091,-80.18333,40.33333,PENNSYLVANIA,WAYNESBURG,4215057
1186811,5442807,-77.8,39.91667,PENNSYLVANIA,ST THOMAS,4217252
53233,318349,-76.49,41.42,PENNSYLVANIA,LAPORTE,4218626
1113005,5240084,-79.91667,40.4,PENNSYLVANIA,LOWER BURRELL,4215120
32010,187737,-75.9452,41.5256,PENNSYLVANIA,TUNKHANNOCK,4218657
1217718,5527102,-77.9,39.88333,PENNSYLVANIA,MERCERSBURG,4217236
51865,308951,-76.52,41.99,PENNSYLVANIA,SOUTH WAVERLY,4218840
53233,318352,-77.3726,41.1866,PENNSYLVANIA,WOOLRICH,4217745
4580,26562,-79.92,41.12,PENNSYLVANIA,BOYERS,4216038
1098154,5151917,-79.58333,39.8,PENNSYLVANIA,FARMINGTON,4215437
1218658,5529437,-75.63333,40.23333,PENNSYLVANIA,KENILWORTH,4219465
68888,413219,-80.3,41.62,PENNSYLVANIA,CONNEAUT LAKE,4216316
1113506,5242510,-75.0,41.1,PENNSYLVANIA,BUSHKILL,4218324
68888,413220,-80.05,41.52,PENNSYLVANIA,COCHRANTON,4216314
1218657,5529436,-75.9,40.36667,PENNSYLVANIA,MT PENN,4219604
1103523,5174178,-80.01666999999999,40.7,PENNSYLVANIA,MARS,4216046
1103523,5174177,-79.8,40.75,PENNSYLVANIA,SAXONBURG,4216023
1113004,5240082,-80.08333,40.41667,PENNSYLVANIA,CARNEGIE,4215106
1103523,5174176,-79.76666999999999,40.76667,PENNSYLVANIA,CABOT,4216023
1103032,5174456,-79.95,41.41667,PENNSYLVANIA,UTICA,4216362
66378,397990,-77.07,40.86,PENNSYLVANIA,PENNS CREEK,4217842
66378,397989,-77.8959,40.808,PENNSYLVANIA,WOODYCREST,4216803
1103523,5174174,-80.13333,40.75,PENNSYLVANIA,ZELIENOPLE,4216063
1103523,5174173,-80.3,40.7,PENNSYLVANIA,BRIDGEWATER,4215009
66378,397988,-77.43,41.13,PENNSYLVANIA,LOCK HAVEN,4217745
1113004,5240078,-79.73333000000001,40.73333,PENNSYLVANIA,SARVER,4216055
1217717,5527101,-77.75,39.78333,PENNSYLVANIA,GREENCASTLE,4217225
45121,261764,-75.82,41.88,PENNSYLVANIA,HEART LAKE,4218801
1113004,5240080,-79.68333,40.66667,PENNSYLVANIA,FREEPORT,4215656
1113004,5240081,-80.2,40.3,PENNSYLVANIA,CANONSBURG,4215317
66378,397991,-76.34,41.13,PENNSYLVANIA,FORKS,4217859
1113004,5240079,-79.63333,40.65,PENNSYLVANIA,BAGDAD,4215656
45121,261761,-75.92,41.98,PENNSYLVANIA,BRACKNEY,4218812
32010,187736,-75.9553,41.5125,PENNSYLVANIA,EATONVILLE,4218657
72298,435913,-79.96,40.33,PENNSYLVANIA,PLEASANT HILLS,4215236
1217679,5527009,-76.18333,40.18333,PENNSYLVANIA,EPHRATA,4217522
75927,458275,-76.7897,40.3438,PENNSYLVANIA,LINGLESTOWN,4217112
72298,435914,-79.95,40.33,PENNSYLVANIA,PLEASANT HILLS,4215236
72298,435915,-80.11,40.36,PENNSYLVANIA,BOWER HILL,4215017
1103885,5158343,-76.61667,40.58333,PENNSYLVANIA,WILLIAMSTOWN,4217098
72298,435916,-79.97,40.36,PENNSYLVANIA,BRENTWOOD,4215227
1103206,5156763,-75.31667,41.06667,PENNSYLVANIA,SCOT RUN,4218332
72298,435917,-79.84,40.34,PENNSYLVANIA,RIVERTON,4215132
21356,126203,-79.7,41.53,PENNSYLVANIA,PETROLEUM CENTER,4216354
72298,435918,-79.8,40.34,PENNSYLVANIA,WHITE OAK,4215131
72298,435919,-80.02,40.53,PENNSYLVANIA,HIGHCLIFF,4215229
72298,435912,-80.11,40.36,PENNSYLVANIA,BOWER HILL,4215017
72298,435920,-79.95,40.59,PENNSYLVANIA,TALLEY GAVEY,4215101
35440,204985,-79.81,41.44,PENNSYLVANIA,ROCKY GROVE,4216323
1217678,5527008,-77.18333,40.2,PENNSYLVANIA,CARLISLE,4217013
21356,126201,-80.21,41.44,PENNSYLVANIA,SHEAKLEYVILLE,4216130
4628,40306,-75.22,40.13,PENNSYLVANIA,FT WASHINGTON,4219034
29808,186320,-75.4,39.87,PENNSYLVANIA,BROOKHAVEN,4219015
1217676,5527006,-76.4,40.16667,PENNSYLVANIA,MANHEIM,4217545
4628,40294,-75.13,40.12,PENNSYLVANIA,GLENSIDE,4219001
4628,40297,-74.9878,40.17,PENNSYLVANIA,LANGHORNE,4218966
4628,40297,-74.95,40.17,PENNSYLVANIA,LANGHORNE,4219047
4628,40296,-74.98,40.07,PENNSYLVANIA,ANDALUSIA,4219154
4628,40294,-75.22,40.13,PENNSYLVANIA,FT WASHINGTON,4219034
22259,130856,-80.07,41.8434,PENNSYLVANIA,CAMBRIDGE SPGS,4216403
51865,308955,-75.0,41.42,PENNSYLVANIA,GREELEY,4218425
45121,261763,-75.73,41.88,PENNSYLVANIA,NEW MILFORD,4218834
1113423,5241451,-80.15,41.63333,PENNSYLVANIA,MEADVILLE,4216335
1217652,5526904,-77.38333,39.85,PENNSYLVANIA,CASHTOWN,4217353
32010,187737,-75.9485,41.5232,PENNSYLVANIA,TUNKHANNOCK,4218657
72298,435921,-80.22,40.53,PENNSYLVANIA,CARNOT,4215108
45121,261762,-75.65,41.8,PENNSYLVANIA,GIBSON,4218826
94182,575698,-75.62,40.32,PENNSYLVANIA,GILBERTSVILLE,4219525
1178021,5418489,-79.86667,40.43333,PENNSYLVANIA,FOREST HILLS,4215221
1177999,5418335,-79.33333,40.98333,PENNSYLVANIA,SOUTH BETHLEHEM,4216242
1177996,5418332,-79.88333,40.85,PENNSYLVANIA,BUTLER,4216001
1217728,5527112,-76.6,40.16667,PENNSYLVANIA,ELIZABETHTOWN,4217022
4619,39758,-75.27,40.1,PENNSYLVANIA,PLYMOUTH MEETING,4219462
1103033,5174461,-80.5,41.25,PENNSYLVANIA,SHARON,4216146
1103033,5174470,-79.73333000000001,41.41667,PENNSYLVANIA,RENO,4216343
4628,40240,-75.9,40.17,PENNSYLVANIA,MORGANTOWN,4219543
1217661,5526913,-76.43333,40.45,PENNSYLVANIA,FREDERICKSBURG,4217026
53233,318348,-76.49,41.4,PENNSYLVANIA,LAPORTE,4217758
72298,435904,-80.09,40.41,PENNSYLVANIA,CARNEGIE,4215106
72298,435905,-80.24,41.23,PENNSYLVANIA,MERCER,4216137
68901,413381,-76.0805,40.3301,PENNSYLVANIA,SINKING SPG,4219565
72298,435906,-79.12,40.35,PENNSYLVANIA,WEST FAIRFIELD,4215944
1113423,5241452,-80.15,41.63333,PENNSYLVANIA,MEADVILLE,4216335
72298,435907,-79.14,40.36,PENNSYLVANIA,WEST FAIRFIELD,4215923
4628,40244,-75.8366,40.3402,PENNSYLVANIA,ST LAWRENCE,4219606
72298,435908,-80.18,40.33,PENNSYLVANIA,CECIL,4215321
72298,435909,-80.13,40.33,PENNSYLVANIA,SYGAN,4215017
72298,435910,-80.17,40.33,PENNSYLVANIA,CECIL,4215017
4628,40293,-75.15,40.18,PENNSYLVANIA,HORSHAM,4219044
51865,308950,-76.77,41.78,PENNSYLVANIA,TROY,4216947
1162907,5372039,-76.4,41.76667,PENNSYLVANIA,WYSOX,4218848
72298,435911,-79.7,40.43,PENNSYLVANIA,MURRYSVILLE,4215668
4580,26174,-80.15,41.27,PENNSYLVANIA,JACKSON CENTER,4216133
53233,318353,-77.37,41.17,PENNSYLVANIA,MC ELHATTAN,4217745
4578,26166,-80.18,40.55,PENNSYLVANIA,SEWICKLEY,4215143
72772,439182,-76.8509,40.6241,PENNSYLVANIA,BERRYSBURG,4217023
30586,179669,-78.613,40.9339,PENNSYLVANIA,HEPBURNA,4216833
30584,183157,-78.56,41.43,PENNSYLVANIA,KAULMONT,4215857
1113002,5239972,-80.05,41.06667,PENNSYLVANIA,SLIPPERY ROCK,4216057
22254,130847,-79.8,42.0,PENNSYLVANIA,WATTSBURG,4216442
1113002,5239971,-80.18333,41.01667,PENNSYLVANIA,HARLANSBURG,4216101
48927,286283,-78.14,41.34,PENNSYLVANIA,DRIFTWOOD,4215832
5588,32679,-77.02,41.25,PENNSYLVANIA,WILLIAMSPORT,4217701
5588,32680,-77.4,40.57,PENNSYLVANIA,MIFFLIN,4217059
5588,32681,-77.57,40.6,PENNSYLVANIA,LEWISTOWN,4217044
1113002,5239969,-80.51666999999999,41.01667,PENNSYLVANIA,HILLSVILLE,4216116
66678,400069,-76.78,41.77,PENNSYLVANIA,TROY,4216947
66678,400069,-76.8,41.78,PENNSYLVANIA,TROY,4216947
66692,400126,-74.86,41.28,PENNSYLVANIA,MILFORD,4218337
21521,127299,-75.25,41.32,PENNSYLVANIA,GREENTOWN,4218426
1192227,5459333,-76.28333,39.93333,PENNSYLVANIA,WILLOW STREET,4217584
1192226,5459332,-76.45,39.85,PENNSYLVANIA,BROGUE,4217302
1192225,5459270,-77.65,41.93333,PENNSYLVANIA,HARRISON VLY,4216927
1113593,5241254,-80.23333000000001,41.23333,PENNSYLVANIA,MERCER,4216137
21356,126208,-79.6,41.51,PENNSYLVANIA,PITHOLE,4216301
21356,126209,-79.72,41.35,PENNSYLVANIA,CRANBERRY,4216323
21356,126210,-80.36,40.92,PENNSYLVANIA,MORAVIA,4216157
4578,26168,-80.05,40.63,PENNSYLVANIA,WEXFORD,4215090
4578,26167,-80.2104,40.5507,PENNSYLVANIA,CORAOPOLIS,4215046
48927,286285,-76.953,41.567,PENNSYLVANIA,LEOLYN,4217765
66692,400127,-74.84,41.29,PENNSYLVANIA,MILFORD,4218337
45121,261774,-75.67,41.4,PENNSYLVANIA,SCRANTON,4218505
45121,261776,-75.67,41.42,PENNSYLVANIA,SCRANTON,4218508
45121,261777,-75.94,41.66,PENNSYLVANIA,LYNN,4218844
45121,261778,-75.9,41.21,PENNSYLVANIA,ASHLEY,4218706
29808,186320,-75.37,39.87,PENNSYLVANIA,UPLAND,4219013
48927,286284,-78.81,41.66,PENNSYLVANIA,EAST KANE,4216735
1192215,5459260,-78.5,40.01667,PENNSYLVANIA,BEDFORD,4215522
1192224,5459269,-76.93333,41.25,PENNSYLVANIA,MONTOURSVILLE,4217754
45121,261775,-75.18,41.48,PENNSYLVANIA,HAWLEY,4218428
1113593,5241169,-80.15,41.26667,PENNSYLVANIA,JACKSON CENTER,4216133
66692,400128,-74.88,41.22,PENNSYLVANIA,DINGMANS FERRY,4218328
66692,400129,-75.45,41.9,PENNSYLVANIA,SCOTT CENTER,4218462
53314,340656,-75.32,39.95,PENNSYLVANIA,DREXEL HILL,4219026
53314,340657,-75.27,39.9,PENNSYLVANIA,SHARON HILL,4219079
53314,340659,-75.2429,39.8759,PENNSYLVANIA,(PHL)PHILADELPHIA IN,4219153
1179157,5421215,-77.75,39.76667,PENNSYLVANIA,GREENCASTLE,4217225
37823,234000,-75.75,40.68,PENNSYLVANIA,NEW TRIPOLI,4218066
52818,315674,-80.119,42.12,PENNSYLVANIA,ERIE,4216505
37823,234001,-75.63,40.59,PENNSYLVANIA,FOGELSVILLE,4218051
45122,261781,-76.15,40.94,PENNSYLVANIA,DERINGER,4218256
37823,234003,-75.4776,40.5807,PENNSYLVANIA,ALLENTOWN MUNI,4218103
1098154,5152390,-79.66667,41.28333,PENNSYLVANIA,NICKLEVILLE,4216373
1098154,5152395,-79.6,40.1,PENNSYLVANIA,SCOTTDALE,4215683
37823,234003,-75.62,40.67,PENNSYLVANIA,SCHNECKSVILLE,4218078
37823,234007,-75.48,40.62,PENNSYLVANIA,ALLENTOWN,4218052
1179156,5421214,-77.75,39.78333,PENNSYLVANIA,GREENCASTLE,4217225
1179152,5421129,-78.23333000000001,40.9,PENNSYLVANIA,PHILIPSBURG,4216866
52818,315674,-80.0386,42.0893,PENNSYLVANIA,ERIE,4216509
45122,261780,-76.21,41.05,PENNSYLVANIA,NESOPECK,4218635
31775,186585,-79.54,40.15,PENNSYLVANIA,MT PLEASANT,4215666
29784,174481,-76.79,41.2,PENNSYLVANIA,MUNCY,4217756
66692,400130,-75.73,41.88,PENNSYLVANIA,NEW MILFORD,4218834
1119915,5258886,-79.76666999999999,42.21667,PENNSYLVANIA,NORTH EAST,4216428
48927,286282,-78.494,41.2665,PENNSYLVANIA,WEEDVILLE,4215868
66692,400132,-75.47,41.9,PENNSYLVANIA,STARRUCA,4218462
66692,400133,-75.37,41.85,PENNSYLVANIA,LAKEWOOD,4218439
19873,118159,-80.47,41.6,PENNSYLVANIA,ESPYVILLE,4216424
1177253,5417100,-75.71667,40.26667,PENNSYLVANIA,DOUGLASVILLE,4219518
22245,130826,-79.8322,42.2,PENNSYLVANIA,MOOREHEADVILLE,4216428
66692,400134,-75.37,41.85,PENNSYLVANIA,LAKEWOOD,4218439
51828,335239,-75.8675,40.8261,PENNSYLVANIA,LANSFORD,4218250
51828,335227,-75.32,41.07,PENNSYLVANIA,SCOT RUN,4218355
1103775,5157781,-75.81667,39.98333,PENNSYLVANIA,COATESVILLE,4219320
19899,118521,-80.08,42.12,PENNSYLVANIA,ERIE,4216501
29784,174483,-76.41,41.08,PENNSYLVANIA,ORANGEVILLE,4217859
29784,174482,-76.85,41.01,PENNSYLVANIA,MILTON,4217847
30442,178321,-79.5,40.18,PENNSYLVANIA,KECKSBURG,4215666
66692,400135,-75.47,41.65,PENNSYLVANIA,BROWNDALE,4218421
51865,308949,-75.97,41.33,PENNSYLVANIA,DALLAS,4218612
1113593,5241168,-80.38333,41.06667,PENNSYLVANIA,NEW WILMINGTON,4216105
51865,308944,-76.52,41.99,PENNSYLVANIA,SOUTH WAVERLY,4218840
4578,26170,-79.8,40.75,PENNSYLVANIA,SAXONBURG,4216023
1113593,5241167,-80.35,41.0,PENNSYLVANIA,NEW CASTLE,4216101
1218662,5529442,-75.16667,39.95,PENNSYLVANIA,PHILADELPHIA,4219102
77655,468366,-76.51,39.84,PENNSYLVANIA,LAUREL,4217322
1098154,5152292,-80.05,40.51667,PENNSYLVANIA,WEST VIEW,4215229
1098154,5152293,-80.25,40.45,PENNSYLVANIA,IMPERIAL,4215126
1098154,5152294,-79.03333,40.96667,PENNSYLVANIA,FROSTBURG,4215767
51865,308946,-76.52,41.95,PENNSYLVANIA,ATHENS,4218810
4654,26609,-80.38,41.13,PENNSYLVANIA,NEW WILMINGTON,4216142
4654,26611,-80.38,41.13,PENNSYLVANIA,NEW WILMINGTON,4216142
4654,26615,-80.1621,41.1789,PENNSYLVANIA,MERCER,4216127
4654,26619,-79.88,40.85,PENNSYLVANIA,BUTLER,4216001
4654,26621,-80.12,41.33,PENNSYLVANIA,STONEBORO,4216153
1218142,5525482,-75.96667,41.33333,PENNSYLVANIA,DALLAS,4218612
1098154,5152383,-79.81667,40.5,PENNSYLVANIA,PENN HILLS,4215147
105496,632826,-77.6763,40.834,PENNSYLVANIA,OLD FORT,4216828
1113003,5239977,-80.5,40.96667,PENNSYLVANIA,BESSEMER,4216112
1113003,5239978,-80.33333,40.68333,PENNSYLVANIA,BEAVER,4215009
1113003,5239979,-80.23333000000001,41.23333,PENNSYLVANIA,MERCER,4216137
1218658,5529437,-75.63333,40.13333,PENNSYLVANIA,KENILWORTH,4219475
1218659,5529438,-75.38333,40.08333,PENNSYLVANIA,KING OF PRUSSIA,4219406
51865,308948,-75.97,41.33,PENNSYLVANIA,DALLAS,4218612
51865,308947,-76.52,41.99,PENNSYLVANIA,SOUTH WAVERLY,4218840
66378,397992,-76.25,41.06,PENNSYLVANIA,BERWICK,4218603
105422,632298,-75.09,40.25,PENNSYLVANIA,JAMISON,4218929
4580,26560,-80.08,41.17,PENNSYLVANIA,GROVE CITY,4216127
1098154,5152384,-80.05,40.53333,PENNSYLVANIA,PERRYSVILLE,4215229
1113003,5240075,-79.98333000000001,40.66667,PENNSYLVANIA,VALENCIA,4215044
44960,260638,-79.9,40.93,PENNSYLVANIA,NORTHVUE,4216001
4578,26171,-79.98,40.67,PENNSYLVANIA,VALENCIA,4215044
105496,632730,-76.73,40.01,PENNSYLVANIA,PLEASUREVILLE,4217406
105496,632824,-77.68,40.84,PENNSYLVANIA,CENTRE HALL,4216828
1113003,5240073,-80.23333000000001,41.0,PENNSYLVANIA,NEW CASTLE,4216101
1113003,5239982,-80.46667,40.7,PENNSYLVANIA,OHIOVILLE,4215059
1113003,5239980,-80.13333,40.8,PENNSYLVANIA,ZELIENOPLE,4216037
1113003,5240074,-79.08333,41.16667,PENNSYLVANIA,BROOKVILLE,4215825
4578,26169,-79.9128,40.4811,PENNSYLVANIA,PITTSBURGH,4215206
1100080,5163235,-74.86667,40.15,PENNSYLVANIA,LEVITTOWN,4219057
1218139,5525412,-75.31667,41.36667,PENNSYLVANIA,LEDGERDALE,4218426
67014,402087,-79.7,40.32,PENNSYLVANIA,NORTH IRWIN,4215642
95712,591676,-75.73,39.98,PENNSYLVANIA,THORNDALE,4219335
67014,402088,-79.48,40.33,PENNSYLVANIA,LUXOR,4215601
1162619,5371865,-75.26666999999999,40.01667,PENNSYLVANIA,NARBERTH,4219072
45121,261773,-74.84,41.32,PENNSYLVANIA,MILFORD,4218337
1113002,5239975,-79.98333000000001,40.85,PENNSYLVANIA,PROSPECT,4216053
1113002,5239975,-80.03333,40.91667,PENNSYLVANIA,PROSPECT,4216052
1113002,5239974,-79.91667,41.0,PENNSYLVANIA,WEST SUNBURY,4216061
1113002,5239973,-80.15,41.05,PENNSYLVANIA,PLAIN GROVE,4216057
21520,127295,-76.44,41.6,PENNSYLVANIA,NEW ALBANY,4218833
21521,127296,-75.66,41.36,PENNSYLVANIA,HILLSIDE JCT,4218507
21521,127297,-75.6,41.3,PENNSYLVANIA,SPRINGBROOK CORNERS,4218444
21356,126206,-79.96,41.41,PENNSYLVANIA,UTICA,4216362
21521,127298,-75.38,41.29,PENNSYLVANIA,ANGELS,4218445
48927,289712,-78.86,41.69,PENNSYLVANIA,KANE,4216735
21356,126204,-79.96,41.44,PENNSYLVANIA,UTICA,4216362
85368,525676,-75.58,40.63,PENNSYLVANIA,OREFIELD,4218069
45121,261772,-75.25,41.58,PENNSYLVANIA,HONESDALE,4218431
51865,308945,-76.73,41.82,PENNSYLVANIA,LEONA,4216947
1100078,5163231,-75.98333000000001,39.78333,PENNSYLVANIA,OXFORD,4219363
45121,261765,-75.65,41.8,PENNSYLVANIA,GIBSON,4218826
45121,261766,-75.51,41.86,PENNSYLVANIA,THOMPSON,4218465
45121,261767,-76.09,41.73,PENNSYLVANIA,WEST AUBURN,4218801
45121,261768,-75.0,41.42,PENNSYLVANIA,GREELEY,4218425
95712,586314,-75.8866,40.1163,PENNSYLVANIA,SUPLEE,4219344
95712,586314,-75.87899999999999,40.1242,PENNSYLVANIA,SUPLEE,4219344
1113003,5239976,-79.73333000000001,40.95,PENNSYLVANIA,CHICORA,4216025
95712,586597,-75.58,40.63,PENNSYLVANIA,OREFIELD,4218069
95712,586600,-75.48,40.68,PENNSYLVANIA,NORTH CATASAUGUA,4218067
95712,586601,-75.48,40.63,PENNSYLVANIA,FULLERTON,4218052
95712,586601,-75.4986,40.6572,PENNSYLVANIA,COPLAY,4218052
45121,261769,-75.25,41.58,PENNSYLVANIA,HONESDALE,4218431
45121,261770,-75.67,41.4,PENNSYLVANIA,SCRANTON,4218505
68888,413218,-80.37,41.8,PENNSYLVANIA,SPRINGBORO,4216435
45121,261771,-75.71,41.49,PENNSYLVANIA,CLARKS GREEN,4218411
95712,586598,-75.5,40.67,PENNSYLVANIA,COPLAY,4218037
1217715,5527099,-77.66667,39.93333,PENNSYLVANIA,CHAMBERSBURG,4217201
45121,261760,-75.25,41.58,PENNSYLVANIA,HONESDALE,4218431
1217713,5527097,-76.06667,40.6,PENNSYLVANIA,AUBURN,4217922
18420,107753,-78.52,41.25,PENNSYLVANIA,FORCE,4215868
18420,107754,-78.79,40.81,PENNSYLVANIA,BURNSIDE,4215721
18420,107755,-78.67,40.75,PENNSYLVANIA,WESTOVER,4216692
18420,107757,-78.23,40.9,PENNSYLVANIA,PHILIPSBURG,4216866
18420,107758,-78.45,40.72,PENNSYLVANIA,GLASGOW,4216639
18420,107760,-78.23,40.68,PENNSYLVANIA,TYRONE,4216686
18420,107752,-78.8465,41.43,PENNSYLVANIA,RIDGWAY,4215853
18420,107761,-78.1,40.55,PENNSYLVANIA,ALEXANDRIA,4216611
1096107,5149736,-77.5,41.1,PENNSYLVANIA,MILL HALL,4217751
18420,107764,-76.85,40.8,PENNSYLVANIA,SELINSGROVE,4217801
18420,107775,-78.2225,40.97,PENNSYLVANIA,WALLACETON,4216858
1096109,5149738,-77.43333,41.13333,PENNSYLVANIA,LOCK HAVEN,4217745
1201112,5481070,-78.76666999999999,41.11667,PENNSYLVANIA,DU BOIS,4215801
105182,631321,-78.6614,39.9277,PENNSYLVANIA,BARD,4215534
1096106,5149735,-76.91667,40.35,PENNSYLVANIA,MARYSVILLE,4217110
105182,630227,-78.42,39.75,PENNSYLVANIA,INGLESMITH,4217211
1120117,5260456,-77.3,41.98333,PENNSYLVANIA,ELKLAND,4216920
1096105,5149734,-76.0,40.78333,PENNSYLVANIA,REEVESDALE,4218252
53041,317280,-80.01,39.9,PENNSYLVANIA,CARMICHAELS,4215320
77780,468987,-75.82,41.39,PENNSYLVANIA,RANSOM,4218653
77780,468988,-75.67,41.4,PENNSYLVANIA,SCRANTON,4218505
1096096,5149365,-76.91667,40.36667,PENNSYLVANIA,DAUPHIN,4217112
1217686,5527016,-76.5,40.23333,PENNSYLVANIA,MT GRETNA,4217042
1145005,5323155,-80.46667,41.25,PENNSYLVANIA,SHARPSVILLE,4216148
68834,412953,-80.15,41.62,PENNSYLVANIA,MEADVILLE,4216335
1145005,5323155,-80.35,41.33333,PENNSYLVANIA,SHARPSVILLE,4216125
1096097,5149366,-78.28333,41.81667,PENNSYLVANIA,PORT ALLEGANY,4216743
1096098,5149367,-78.25,41.5,PENNSYLVANIA,EMPORIUM,4215834
1096099,5149652,-76.38333,41.2,PENNSYLVANIA,BENTON,4217814
1096100,5149729,-78.51666999999999,41.28333,PENNSYLVANIA,BYRNEDALE,4215868
1096102,5149731,-76.48333000000001,40.65,PENNSYLVANIA,HEGINS,4217938
1217687,5527017,-76.91667,40.35,PENNSYLVANIA,MARYSVILLE,4217110
1145006,5323163,-80.13333,40.81667,PENNSYLVANIA,HARMONY,4216037
1120114,5260453,-78.86667,41.56667,PENNSYLVANIA,HIGHLAND CORNERS,4216735
1096110,5149739,-76.91667,40.46667,PENNSYLVANIA,HALIFAX,4217032
1096111,5149740,-76.51666999999999,40.78333,PENNSYLVANIA,RANSHAW,4217866
1096157,5149014,-77.66667,39.93333,PENNSYLVANIA,CHAMBERSBURG,4217201
1096158,5149015,-77.6,41.15,PENNSYLVANIA,BEECH CREEK,4216822
1096159,5149016,-76.36667,41.15,PENNSYLVANIA,STILLWATER,4217878
1096160,5149017,-77.66667,41.01667,PENNSYLVANIA,HOWARD,4216841
53065,336615,-75.43,41.18,PENNSYLVANIA,TOBYHANNA,4218466
1096161,5149018,-77.76666999999999,41.11667,PENNSYLVANIA,ORVISTON,4216841
1096156,5149013,-76.86667,39.93333,PENNSYLVANIA,THOMASVILLE,4217364
1096162,5149019,-76.75,40.15,PENNSYLVANIA,ETTERS,4217319
1096165,5149022,-78.21667,40.91667,PENNSYLVANIA,HAWK RUN,4216866
67005,402044,-79.67,40.46,PENNSYLVANIA,NEWTONSBURG,4215668
67005,402043,-79.82,40.46,PENNSYLVANIA,WILKINS TOWNSHIP,4215235
67005,402042,-80.28,40.47,PENNSYLVANIA,VIRSOIX,4215126
67005,402041,-79.98,40.44,PENNSYLVANIA,OPTION,4215219
67005,402039,-80.24,40.45,PENNSYLVANIA,IMPERIAL,4215126
1096163,5149020,-77.08333,39.75,PENNSYLVANIA,LITTLESTOWN,4217340
1096155,5149012,-77.01666999999999,40.01667,PENNSYLVANIA,BERMUDIAN,4217316
1096154,5149011,-78.1,41.31667,PENNSYLVANIA,SINNAMAHONING,4215861
1096153,5149010,-78.58333,41.43333,PENNSYLVANIA,ST MARYS,4215857
1096112,5149741,-76.61667,41.5,PENNSYLVANIA,FORKSVILLE,4218616
1096113,5149742,-77.36667,39.81667,PENNSYLVANIA,ZORA,4217325
1096115,5149744,-76.56667,40.78333,PENNSYLVANIA,SHAMOKIN,4217866
1096116,5149745,-76.86667,39.86667,PENNSYLVANIA,SPRING GROVE,4217362
1096117,5149746,-76.71667,39.95,PENNSYLVANIA,YORK,4217403
105181,630226,-78.3438,39.7397,PENNSYLVANIA,NORTHCRAFT,4217267
1096119,5149748,-76.3,40.06667,PENNSYLVANIA,LANCASTER,4217601
1096120,5149749,-76.35,40.0,PENNSYLVANIA,MILLERSVILLE,4217551
1096121,5149750,-77.65,41.73333,PENNSYLVANIA,GALETON,4216922
1096122,5149751,-77.16667,41.41667,PENNSYLVANIA,COGAN HOUSE,4217771
1096123,5149752,-77.0,41.25,PENNSYLVANIA,WILLIAMSPORT,4217701
1145086,5322035,-79.98333000000001,41.95,PENNSYLVANIA,WATERFORD,4216441
1096124,5149753,-76.88333,40.95,PENNSYLVANIA,LEWISBURG,4217837
1096125,5149754,-77.75,39.81667,PENNSYLVANIA,GREENCASTLE,4217225
1096152,5149009,-78.68333,41.48333,PENNSYLVANIA,JOHNSONBURG,4215845
53041,317279,-79.54,40.3,PENNSYLVANIA,GREENSBURG,4215601
1096095,5149364,-78.76666999999999,41.11667,PENNSYLVANIA,DU BOIS,4215801
77780,468986,-75.61,41.42,PENNSYLVANIA,NAY AUG,4218512
1217685,5527015,-76.91667,40.3,PENNSYLVANIA,ENOLA,4217110
29784,174477,-76.58,40.28,PENNSYLVANIA,CAMPBELLTOWN,4217078
29784,174476,-77.83,40.05,PENNSYLVANIA,FANNETTSBURG,4217221
103974,622057,-76.2797,41.7302,PENNSYLVANIA,LIMEHILL,4218853
1095959,5145902,-80.25,42.03333,PENNSYLVANIA,FAIRVIEW,4216415
29784,174479,-76.98,39.81,PENNSYLVANIA,HANOVER,4217331
31775,186589,-79.9,40.39,PENNSYLVANIA,MUNHALL,4215120
1177927,5418143,-79.5,40.3,PENNSYLVANIA,GREENSBURG,4215601
