EPISODE_ID,EVENT_ID,LONGITUDE,LATITUDE,STATE,LOCATION,ZIPCODE
98636,592917,-70.93,42.53,MASSACHUSETTS,PEABODY,2501960
31782,186642,-71.42,42.68,MASSACHUSETTS,TYNGSBORO,2501879
117373,705874,-71.81,42.27,MASSACHUSETTS,WORCESTER,2501609
1137892,5306187,-73.25,42.33333,MASSACHUSETTS,LENOX DALE,2501242
9022,51338,-71.57,42.62,MASSACHUSETTS,GROTON,2501450
98636,592918,-70.93,42.58,MASSACHUSETTS,(BVY)BEVERLY MUNI AR,2501923
6465,37615,-73.1,42.7,MASSACHUSETTS,NORTH ADAMS,2501247
31782,186643,-71.44,42.31,MASSACHUSETTS,SAXONVILLE,2501701
31782,186645,-71.62,42.27,MASSACHUSETTS,WESTBOROUGH,2501581
9022,51337,-71.7,42.67,MASSACHUSETTS,TOWNSEND,2501469
54232,325245,-73.37,42.35,MASSACHUSETTS,RICHMOND FURNACE,2501266
9197,52828,-73.02,42.57,MASSACHUSETTS,SAVOY,2501256
98636,592920,-72.93,42.18,MASSACHUSETTS,BLANDFORD,2501008
98636,592919,-70.93,42.53,MASSACHUSETTS,PEABODY,2501960
64695,403606,-71.02,42.47,MASSACHUSETTS,SAUGUS IRON WORKS NH,2501906
1136600,5297160,-72.76666999999999,42.05,MASSACHUSETTS,SOUTHWICK,2501077
1137895,5305277,-73.2,42.71667,MASSACHUSETTS,NEW ASHFORD,2501267
9197,52824,-73.12,42.63,MASSACHUSETTS,ADAMS,2501220
1211814,5512411,-71.75,42.43333,MASSACHUSETTS,STERLING,2501564
43844,254725,-72.6,42.55,MASSACHUSETTS,DEERFIELD,2501342
43844,254727,-72.2,42.35,MASSACHUSETTS,HARDWICK,2501037
27669,162528,-72.9,42.7,MASSACHUSETTS,ROWE,2501367
64695,403609,-71.35,42.28,MASSACHUSETTS,NATICK,2501760
43844,254728,-71.9,42.25,MASSACHUSETTS,LEICESTER,2501524
1211814,5512411,-71.78333,42.36667,MASSACHUSETTS,STERLING,2501583
1211814,5508564,-70.9,42.51667,MASSACHUSETTS,SALEM,2501970
1211814,5508561,-71.1,42.11667,MASSACHUSETTS,STOUGHTON,2502072
64695,403607,-72.03,42.08,MASSACHUSETTS,SOUTHBRIDGE,2501550
19327,113980,-71.1385,41.9517,MASSACHUSETTS,WINNECONNET,2502780
1101822,5169878,-71.1,42.03333,MASSACHUSETTS,NORTON,2502375
1101822,5169878,-71.18333,41.96667,MASSACHUSETTS,NORTON,2502766
1101819,5169871,-71.98333000000001,42.56667,MASSACHUSETTS,GARDNER,2501440
9033,51392,-71.52,42.22,MASSACHUSETTS,HOPKINTON,2501748
9032,51391,-72.13,42.32,MASSACHUSETTS,NEW BRAINTREE,2501531
1137895,5305279,-73.1,42.7,MASSACHUSETTS,NORTH ADAMS,2501247
1137895,5305278,-73.11667,42.63333,MASSACHUSETTS,ADAMS,2501220
54851,329577,-72.54,42.54,MASSACHUSETTS,MONTAGUE STATION,2501351
9032,51391,-72.1093,42.3353,MASSACHUSETTS,NEW BRAINTREE,2501531
19327,113978,-70.82,42.12,MASSACHUSETTS,HANOVER,2502339
98633,592904,-71.71,42.07,MASSACHUSETTS,EAST DOUGLAS,2501516
1137895,5305277,-73.23333000000001,42.6,MASSACHUSETTS,NEW ASHFORD,2501237
31782,186641,-71.62,42.27,MASSACHUSETTS,WESTBOROUGH,2501581
9197,52822,-73.11,42.69,MASSACHUSETTS,NORTH ADAMS,2501247
9197,52826,-73.12,42.63,MASSACHUSETTS,ADAMS,2501220
21585,127670,-71.2348,41.7217,MASSACHUSETTS,SOUTH SWANSEA,
117373,705876,-71.23,42.62,MASSACHUSETTS,TEWKSBURY,2501876
31782,186632,-71.8,42.27,MASSACHUSETTS,WORCESTER,2501608
10565,58717,-72.77,42.05,MASSACHUSETTS,SOUTHWICK,2501077
1135085,5294841,-71.98333000000001,42.56667,MASSACHUSETTS,GARDNER,2501440
10557,58686,-72.93,42.42,MASSACHUSETTS,WORTHINGTON CORNERS,2501098
64695,403605,-70.96,42.47,MASSACHUSETTS,LYNN,2501904
64695,403603,-70.99,42.42,MASSACHUSETTS,REVERE,2502151
5818,34078,-73.02,42.08,MASSACHUSETTS,TOLLAND,2501034
75838,463790,-71.14,42.66,MASSACHUSETTS,SHAWSHEEN VLG,2501810
75847,460040,-72.6,42.59,MASSACHUSETTS,GREENFIELD,2501301
1211823,5512496,-71.75,42.43333,MASSACHUSETTS,STOUGHTON,2501564
10557,58685,-72.68,42.52,MASSACHUSETTS,CONWAY,2501341
75847,460041,-72.56,42.6,MASSACHUSETTS,TURNERS FALLS,2501376
1099392,5162716,-70.73333000000001,42.2,MASSACHUSETTS,SCITUATE,2502066
1211823,5512496,-71.88333,42.05,MASSACHUSETTS,STOUGHTON,2501570
1099392,5163823,-71.7,42.66667,MASSACHUSETTS,TOWNSEND,2501469
1211823,5512498,-71.21667,42.35,MASSACHUSETTS,SALEM,2502465
7780,44831,-72.67,42.1,MASSACHUSETTS,WEST SPRINGFIELD,2501089
75847,460042,-72.5,42.45,MASSACHUSETTS,LEVERETT,2501054
75847,460043,-72.54,42.12,MASSACHUSETTS,EAST SPRINGFIELD,2501109
75847,460044,-70.96,42.64,MASSACHUSETTS,TOPSFIELD,2501983
1135082,5294747,-72.93333,42.41667,MASSACHUSETTS,WORTHINGTON CORNERS,2501098
1135080,5294742,-71.55,42.35,MASSACHUSETTS,MARLBOROUGH,2501752
1135080,5294742,-71.56667,42.4,MASSACHUSETTS,MARLBOROUGH,2501749
1135080,5294741,-71.63333,42.31667,MASSACHUSETTS,NORTHBOROUGH,2501532
1135080,5294740,-71.51666999999999,42.3,MASSACHUSETTS,SOUTHBOROUGH,2501772
1135080,5294739,-71.28333,42.25,MASSACHUSETTS,DOVER,2502030
1211823,5512498,-71.41667,42.28333,MASSACHUSETTS,SALEM,2501702
75847,460045,-70.95,42.57,MASSACHUSETTS,HAWTHORNE,2501923
10565,58718,-72.48,42.17,MASSACHUSETTS,LUDLOW,2501056
117373,709387,-71.0163,42.5946,MASSACHUSETTS,MIDDLETON,2501949
115945,697634,-72.68,42.52,MASSACHUSETTS,CONWAY,2501341
115945,697637,-72.56,42.33,MASSACHUSETTS,HADLEY,2501035
31782,186632,-71.83,42.2,MASSACHUSETTS,AUBURN,2501501
31782,186629,-72.92,42.2,MASSACHUSETTS,BLANDFORD,2501008
31782,186629,-72.88,42.28,MASSACHUSETTS,LITTLEVILLE,2501050
31782,186628,-72.9,42.7,MASSACHUSETTS,ROWE,2501367
54232,325246,-73.32,42.29,MASSACHUSETTS,STOCKBRIDGE,2501262
117373,705875,-71.6,42.43,MASSACHUSETTS,BOLTON,2501740
10565,58719,-70.5,41.76,MASSACHUSETTS,SANDWICH,2502563
31799,186754,-71.65,42.31,MASSACHUSETTS,NORTHBOROUGH,2501532
115945,697638,-72.54,42.12,MASSACHUSETTS,EAST SPRINGFIELD,2501109
117373,705877,-71.5,42.43,MASSACHUSETTS,STOW,2501775
77453,469573,-72.3524,42.3308,MASSACHUSETTS,BACONVILLE,2501007
77453,469573,-72.3534,42.3305,MASSACHUSETTS,BACONVILLE,2501007
54232,325247,-73.26,42.45,MASSACHUSETTS,PITTSFIELD,2501201
1137892,5306186,-73.33333,42.33333,MASSACHUSETTS,WEST STOCKBRIDGE,2501266
54232,325289,-73.084,42.33,MASSACHUSETTS,BECKET,2501223
1099392,5162714,-70.73333000000001,42.2,MASSACHUSETTS,SCITUATE,2502066
77453,469265,-71.23,42.28,MASSACHUSETTS,NEEDHAM,2502492
117373,705878,-71.56,42.39,MASSACHUSETTS,HUDSON,2501749
117373,705879,-71.27,42.55,MASSACHUSETTS,BILLERICA,2501821
117373,705880,-71.23,42.62,MASSACHUSETTS,TEWKSBURY,2501876
1178188,5417887,-73.2,42.71667,MASSACHUSETTS,WILLIAMSTOWN,2501267
117373,705881,-71.87,42.05,MASSACHUSETTS,WEBSTER,2501570
117373,706074,-71.99,42.24,MASSACHUSETTS,SPENCER,2501562
117373,706075,-71.9,42.25,MASSACHUSETTS,LEICESTER,2501524
1178187,5417886,-73.25,42.45,MASSACHUSETTS,PITTSFIELD,2501201
117373,709382,-71.2309,42.6107,MASSACHUSETTS,TEWKSBURY,2501876
117373,709384,-70.9353,42.5288,MASSACHUSETTS,PEABODY,2501960
31780,186612,-72.4874,42.0861,MASSACHUSETTS,EAST LONGMEADOW,2501028
1099392,5162709,-71.15,42.35,MASSACHUSETTS,BRIGHTON,2502135
19856,117810,-72.33,42.5,MASSACHUSETTS,NEW SALEM,2501355
19391,115826,-73.11,42.69,MASSACHUSETTS,NORTH ADAMS,2501247
1099392,5162707,-71.21667,42.35,MASSACHUSETTS,NEWTON,2502465
7786,44864,-72.68,42.52,MASSACHUSETTS,CONWAY,2501341
7786,44864,-72.6,42.55,MASSACHUSETTS,DEERFIELD,2501342
1099392,5162705,-70.91667,42.56667,MASSACHUSETTS,DANVERS,2501923
64695,403625,-71.27,41.83,MASSACHUSETTS,REHOBOTH,2502769
7786,44862,-72.6,42.6,MASSACHUSETTS,GREENFIELD,2501301
64695,403621,-71.44,42.31,MASSACHUSETTS,SAXONVILLE,2501701
64695,403620,-71.6,42.08,MASSACHUSETTS,LINWOOD,2501569
64695,403619,-71.87,42.12,MASSACHUSETTS,OXFORD,2501540
64695,403617,-70.99,42.42,MASSACHUSETTS,REVERE,2502151
100249,600537,-71.12,42.31,MASSACHUSETTS,FOREST HILLS,2502130
64695,403615,-71.44,42.31,MASSACHUSETTS,SAXONVILLE,2501701
55611,347334,-70.93,42.08,MASSACHUSETTS,WHITMAN,2502382
55611,347333,-70.84,42.56,MASSACHUSETTS,PRIDES CROSSING,2501915
1119889,5258408,-71.18333,42.71667,MASSACHUSETTS,LAWRENCE,2501841
7783,44852,-72.1,42.42,MASSACHUSETTS,BARRE,2501005
115945,697654,-72.62,42.07,MASSACHUSETTS,AGAWAM,2501001
7783,44851,-72.33,42.5,MASSACHUSETTS,NEW SALEM,2501355
1116140,5249789,-72.9,42.46667,MASSACHUSETTS,PLAINFIELD,2501026
41378,241200,-71.77,42.15,MASSACHUSETTS,SUTTON,2501590
115945,697657,-72.5743,42.2326,MASSACHUSETTS,SOUTH HADLEY FALLS,2501075
115945,697658,-72.87,42.07,MASSACHUSETTS,GRANVILLE,2501034
1099392,5162705,-70.86667,42.48333,MASSACHUSETTS,DANVERS,2501945
41378,241200,-71.65,42.15,MASSACHUSETTS,NORTHBRIDGE,2501534
7780,44838,-71.7,42.67,MASSACHUSETTS,TOWNSEND,2501469
115945,697652,-72.65,42.12,MASSACHUSETTS,WEST SPRINGFIELD,2501089
7780,44834,-71.8,42.58,MASSACHUSETTS,FITCHBURG,2501420
1136603,5302852,-71.51666999999999,42.15,MASSACHUSETTS,MILFORD,2501757
7790,44873,-72.13,42.55,MASSACHUSETTS,PHILLIPSTON,2501331
115945,697659,-72.4,42.27,MASSACHUSETTS,BELCHERTOWN,2501007
7790,44874,-70.77,41.88,MASSACHUSETTS,CARVER,2502330
7792,44877,-71.75,42.53,MASSACHUSETTS,LEOMINSTER,2501453
1136595,5297151,-71.3,42.66667,MASSACHUSETTS,DRACUT,2501826
1136595,5297150,-71.98333000000001,42.56667,MASSACHUSETTS,GARDNER,2501440
1099392,5162703,-71.16667,42.55,MASSACHUSETTS,WILMINGTON,2501887
64695,404372,-71.277,41.88,MASSACHUSETTS,DODGEVILLE,2502769
21313,125971,-72.57,42.18,MASSACHUSETTS,WILLIMANSETT,2501020
21313,125972,-72.57,42.18,MASSACHUSETTS,WILLIMANSETT,2501020
115945,697655,-72.67,42.34,MASSACHUSETTS,FLORENCE,2501062
1136600,5297161,-71.51666999999999,42.15,MASSACHUSETTS,SPENCER,2501757
64695,403627,-71.09,41.9,MASSACHUSETTS,TAUNTON,2502780
115945,697656,-72.53,42.26,MASSACHUSETTS,GRANBY,2501033
64695,403626,-71.09,41.9,MASSACHUSETTS,TAUNTON,2502780
117373,705863,-72.62,42.07,MASSACHUSETTS,AGAWAM,2501001
117373,705864,-72.65,42.12,MASSACHUSETTS,WEST SPRINGFIELD,2501089
89686,539935,-71.77,42.26,MASSACHUSETTS,TURNPIKE,2501604
1099392,5162704,-71.5,42.43333,MASSACHUSETTS,STOW,2501775
89686,539935,-71.8,42.24,MASSACHUSETTS,SOUTH WORCESTER,2501607
64695,404372,-71.209,41.873000000000005,MASSACHUSETTS,NORTH REHOBOTH,2502769
64695,404373,-71.13600000000001,41.863,MASSACHUSETTS,NORTH DIGHTON,2502764
64695,404373,-71.127,41.824,MASSACHUSETTS,DIGHTON,2502715
1099392,5162702,-71.43333,42.58333,MASSACHUSETTS,WESTFORD,2501886
1136600,5297161,-71.98333000000001,42.25,MASSACHUSETTS,SPENCER,2501562
100249,600561,-71.05,42.41,MASSACHUSETTS,EAST EVERETT,2502149
1099392,5162701,-71.7,42.66667,MASSACHUSETTS,TOWNSEND,2501469
64695,404374,-71.23,41.831,MASSACHUSETTS,REHOBOTH,2502769
64695,404375,-71.14399999999999,41.836999999999996,MASSACHUSETTS,SEGREGANSET,2502715
64695,404376,-71.097,41.867,MASSACHUSETTS,WEIR VLG,2502779
64695,404377,-71.23899999999999,41.875,MASSACHUSETTS,NORTH REHOBOTH,2502769
7792,44876,-71.5,42.53,MASSACHUSETTS,LITTLETON,2501460
1099392,5162708,-71.23333000000001,42.28333,MASSACHUSETTS,NEEDHAM,2502492
115945,697660,-72.76,42.14,MASSACHUSETTS,WESTFIELD,2501085
115945,697662,-72.76,42.14,MASSACHUSETTS,WESTFIELD,2501085
129188,774224,-71.8907,42.0456,MASSACHUSETTS,WEBSTER,2501571
117373,705868,-72.54,42.12,MASSACHUSETTS,EAST SPRINGFIELD,2501109
1097210,5152627,-72.33333,42.16667,MASSACHUSETTS,PALMER,2501069
117373,705869,-72.44,42.14,MASSACHUSETTS,NORTH WILBRAHAM,2501095
17756,102761,-73.27,42.22,MASSACHUSETTS,HARTSVILLE,2501245
1211814,5508558,-71.21667,42.35,MASSACHUSETTS,FRAMINGHAM,2502465
117373,705870,-71.56,42.39,MASSACHUSETTS,HUDSON,2501749
117373,705871,-71.99,42.24,MASSACHUSETTS,SPENCER,2501562
117373,705872,-71.9,42.25,MASSACHUSETTS,LEICESTER,2501524
117373,705873,-71.69,42.42,MASSACHUSETTS,CLINTON,2501510
115945,697646,-72.5,42.45,MASSACHUSETTS,LEVERETT,2501054
115945,697644,-72.68,42.33,MASSACHUSETTS,BAY STATE,2501062
115945,697641,-72.72,42.4,MASSACHUSETTS,WILLIAMSBURG,2501096
31799,186763,-71.0,41.57,MASSACHUSETTS,DARTMOUTH,2502748
31799,186762,-71.2264,41.9493,MASSACHUSETTS,CHARTLEY,2502766
64695,403612,-71.29,41.94,MASSACHUSETTS,ATTLEBORO,2502703
64695,403612,-71.25399999999999,41.891999999999996,MASSACHUSETTS,NORTH REHOBOTH,2502769
31799,186761,-71.1383,41.9389,MASSACHUSETTS,OAKLAND,2502780
64695,403628,-71.09,41.9,MASSACHUSETTS,TAUNTON,2502780
19391,115828,-73.25,42.34,MASSACHUSETTS,LENOX DALE,2501242
31799,186760,-71.22,42.02,MASSACHUSETTS,MANSFIELD,2502048
31799,186759,-71.33,42.07,MASSACHUSETTS,WRENTHAM,2502093
64695,403610,-71.24,42.28,MASSACHUSETTS,NEEDHAM,2502492
19391,115830,-73.25,42.31,MASSACHUSETTS,LEE,2501238
31799,186756,-72.92,42.52,MASSACHUSETTS,PLAINFIELD,2501070
1211823,5512491,-72.51666999999999,42.38333,MASSACHUSETTS,FRAMINGHAM,2501002
31799,186755,-71.52,42.22,MASSACHUSETTS,HOPKINTON,2501748
117373,705867,-72.44,42.14,MASSACHUSETTS,NORTH WILBRAHAM,2501095
115945,697661,-72.62,42.07,MASSACHUSETTS,AGAWAM,2501001
1097210,5152626,-72.7,42.35,MASSACHUSETTS,LEEDS,2501053
1097210,5152624,-72.63333,42.31667,MASSACHUSETTS,NORTHAMPTON,2501060
1136603,5302853,-71.3,42.18333,MASSACHUSETTS,MEDFIELD,2502052
55611,347332,-70.93,42.53,MASSACHUSETTS,PEABODY,2501960
115945,697651,-72.76,42.14,MASSACHUSETTS,WESTFIELD,2501085
115945,697663,-72.77,42.05,MASSACHUSETTS,SOUTHWICK,2501077
115945,697664,-72.76,42.14,MASSACHUSETTS,WESTFIELD,2501085
115945,697665,-72.76,42.14,MASSACHUSETTS,WESTFIELD,2501085
43573,253626,-72.88,42.57,MASSACHUSETTS,HAWLEY,2501339
115945,697667,-72.7,42.1159,MASSACHUSETTS,WEST SPRINGFIELD,2501085
115945,697667,-72.6991,42.1503,MASSACHUSETTS,(BAF)BARNES ARPT WST,2501085
115945,697668,-72.76,42.14,MASSACHUSETTS,WESTFIELD,2501085
115945,697669,-72.72,42.4,MASSACHUSETTS,WILLIAMSBURG,2501096
43575,253635,-71.0,42.83,MASSACHUSETTS,MERRIMAC,2501860
43575,253639,-71.77,42.52,MASSACHUSETTS,WHALOM,2501453
7780,44833,-72.58,42.13,MASSACHUSETTS,CHICOPEE,2501104
115945,697650,-72.57,42.18,MASSACHUSETTS,WILLIMANSETT,2501020
7780,44832,-71.98,42.57,MASSACHUSETTS,GARDNER,2501440
115945,697649,-72.8,42.2,MASSACHUSETTS,MONTGOMERY,2501085
64695,403614,-71.02,42.47,MASSACHUSETTS,SAUGUS IRON WORKS NH,2501906
115945,697648,-72.68,42.27,MASSACHUSETTS,EASTHAMPTON,2501027
1211814,5508558,-71.41667,42.28333,MASSACHUSETTS,FRAMINGHAM,2501702
115945,697647,-72.68,42.33,MASSACHUSETTS,BAY STATE,2501062
1211814,5512490,-71.88333,42.05,MASSACHUSETTS,WEBSTER,2501570
100249,600522,-71.1,42.39,MASSACHUSETTS,INMAN SQUARE,2502145
1097210,5152624,-72.4,42.28333,MASSACHUSETTS,NORTHAMPTON,2501007
129188,774224,-71.885,42.0509,MASSACHUSETTS,WEBSTER,2501571
100249,600521,-71.24,42.38,MASSACHUSETTS,BLEACHERY,2502451
117373,705865,-72.57,42.05,MASSACHUSETTS,LONGMEADOW,2501106
117373,705866,-72.54,42.12,MASSACHUSETTS,EAST SPRINGFIELD,2501109
40726,237063,-70.95,41.85,MASSACHUSETTS,LAKEVILLE,2502347
19765,117369,-71.15,42.45,MASSACHUSETTS,WEDGEMERE,2501890
108864,652126,-71.2,42.5,MASSACHUSETTS,BURLINGTON,2501803
30832,180990,-71.7,42.67,MASSACHUSETTS,TOWNSEND,2501469
1177486,5416981,-71.65,42.53333,MASSACHUSETTS,LUDLOW,2501464
1177485,5416978,-72.98333000000001,42.28333,MASSACHUSETTS,CHESTER,2501011
1179715,5421433,-71.28333,42.63333,MASSACHUSETTS,NORTHBOROUGH,2501852
1177482,5416965,-71.28333,41.93333,MASSACHUSETTS,ATTLEBORO,2502703
1177482,5416962,-70.68333,42.1,MASSACHUSETTS,MARSHFIELD,2502050
19737,117057,-72.64,42.21,MASSACHUSETTS,HIGHLANDS,2501040
1177482,5416961,-70.68333,42.1,MASSACHUSETTS,MARSHFIELD,2502050
1177482,5416959,-70.78333,42.16667,MASSACHUSETTS,NORWELL,2502061
30832,180989,-71.7,42.67,MASSACHUSETTS,TOWNSEND,2501469
30832,180988,-71.73,42.6,MASSACHUSETTS,LUNENBURG,2501462
30832,180986,-71.7,42.67,MASSACHUSETTS,TOWNSEND,2501469
30832,180982,-71.25,42.07,MASSACHUSETTS,FOXBOROUGH,2502035
30832,180952,-71.25,42.07,MASSACHUSETTS,FOXBOROUGH,2502035
1177482,5416960,-71.26666999999999,41.83333,MASSACHUSETTS,REHOBOTH,2502769
1179712,5422689,-72.73333000000001,42.23333,MASSACHUSETTS,SOUTHHAMPTON,2501073
1179715,5421434,-71.33333,42.58333,MASSACHUSETTS,MARLBOROUGH,2501824
75484,455728,-72.03,42.08,MASSACHUSETTS,SOUTHBRIDGE,2501550
42240,246605,-71.01,42.26,MASSACHUSETTS,WOLLASTON,2502170
40425,235188,-72.2416,42.3807,MASSACHUSETTS,HARDWICK,
65007,403832,-70.96,42.47,MASSACHUSETTS,LYNN,2501904
65007,403833,-70.94,41.66,MASSACHUSETTS,NORTH BRISTOL,2502746
65007,403834,-70.73,42.19,MASSACHUSETTS,SCITUATE,2502066
65007,403835,-70.68,41.96,MASSACHUSETTS,PLYMOUTH,2502360
42240,246604,-71.33,41.82,MASSACHUSETTS,SEEKONK,2502771
65007,403849,-70.5504,41.5531,MASSACHUSETTS,FALMOUTH ARPT,2502536
65007,403860,-70.5693,41.9405,MASSACHUSETTS,WHITE HORSE BEACH,2502360
74847,462103,-72.4,42.27,MASSACHUSETTS,BELCHERTOWN,2501007
51463,305933,-72.93,42.42,MASSACHUSETTS,WORTHINGTON CORNERS,2501098
54851,329577,-72.41,42.46,MASSACHUSETTS,SHUTESBURY,2501072
1179715,5422695,-71.06667,42.56667,MASSACHUSETTS,TOWNSEND,2501864
1179715,5422694,-72.58333,42.46667,MASSACHUSETTS,ASHBURNHAM,2501375
65007,403860,-70.5691,41.9406,MASSACHUSETTS,WHITE HORSE BEACH,2502360
1179715,5422702,-72.05,42.68333,MASSACHUSETTS,TEWKSBURY,2501475
1177482,5416959,-70.73333000000001,42.2,MASSACHUSETTS,NORWELL,2502066
1177482,5416957,-71.16667,42.4,MASSACHUSETTS,BELMONT,2502478
1177482,5416875,-72.31667,42.1,MASSACHUSETTS,MONSON,2501057
1177482,5416874,-71.33333,42.58333,MASSACHUSETTS,CHELMSFORD CENTER,2501824
98546,592599,-73.3805,42.2667,MASSACHUSETTS,WILLIAMSVILLE,2501236
1119891,5258419,-72.88333,42.23333,MASSACHUSETTS,HUNTINGTON,2501050
55366,337460,-72.4,42.27,MASSACHUSETTS,BELCHERTOWN,2501007
1119891,5258419,-72.73333000000001,42.23333,MASSACHUSETTS,HUNTINGTON,2501073
1177482,5416876,-71.01666999999999,42.6,MASSACHUSETTS,MIDDLETON,2501949
1119891,5258420,-72.58333,42.11667,MASSACHUSETTS,SPRINGFIELD,2501104
19289,113796,-72.68,42.58,MASSACHUSETTS,SHELBURNE,2501370
19289,113891,-72.6,42.59,MASSACHUSETTS,GREENFIELD,2501301
55366,337459,-72.58,42.05,MASSACHUSETTS,LONGMEADOW,2501106
1114378,5243505,-72.13333,42.31667,MASSACHUSETTS,NEW BRAINTREE,2501531
55366,337456,-72.4,42.27,MASSACHUSETTS,BELCHERTOWN,2501007
55366,337455,-72.52,42.38,MASSACHUSETTS,AMHERST,2501002
19289,113794,-72.9,42.7,MASSACHUSETTS,ROWE,2501367
1177482,5416958,-70.8,42.23333,MASSACHUSETTS,COHASSET,2502025
1177482,5416878,-72.21667,42.06667,MASSACHUSETTS,WALES,2501081
19749,117158,-71.6752,42.7021,MASSACHUSETTS,TOWNSEND,2501469
1142309,5312950,-73.25,42.31667,MASSACHUSETTS,LEE,2501238
21495,127096,-73.08,42.33,MASSACHUSETTS,BECKET,2501223
1119891,5258418,-72.1,42.21667,MASSACHUSETTS,WARREN,2501506
1179707,5422681,-72.43333,42.11667,MASSACHUSETTS,WILBRAHAM,2501095
1179707,5422681,-72.66667,42.1,MASSACHUSETTS,WILBRAHAM,2501089
1177482,5416882,-71.06667,42.31667,MASSACHUSETTS,BOSTON,2502125
19749,117160,-71.81,42.27,MASSACHUSETTS,WORCESTER,2501609
1119891,5258418,-72.2,42.21667,MASSACHUSETTS,WARREN,2501083
1177482,5416880,-71.23333000000001,42.45,MASSACHUSETTS,LEXINGTON,2502421
19749,117150,-72.93,42.42,MASSACHUSETTS,WORTHINGTON CORNERS,2501098
19749,117151,-72.85,42.4,MASSACHUSETTS,CHESTERFIELD,2501012
19749,117152,-72.72,42.4,MASSACHUSETTS,WILLIAMSBURG,2501096
19749,117153,-72.68,42.33,MASSACHUSETTS,BAY STATE,2501062
1177482,5416879,-70.86667,42.55,MASSACHUSETTS,BEVERLY,2501915
1177482,5416880,-71.16667,42.41667,MASSACHUSETTS,LEXINGTON,2502476
1179715,5422699,-71.55,42.35,MASSACHUSETTS,ANDOVER,2501752
9017,51304,-70.0,41.78,MASSACHUSETTS,ORLEANS,2502653
9017,51303,-71.1,41.67,MASSACHUSETTS,LAKESIDE,2502790
56119,337127,-72.58,42.12,MASSACHUSETTS,SPRINGFIELD,2501104
56119,337115,-72.48,42.1903,MASSACHUSETTS,LUDLOW,2501056
56119,337114,-72.5007,42.1854,MASSACHUSETTS,LUDLOW,2501056
56119,336939,-72.31,42.1,MASSACHUSETTS,MONSON,2501057
56119,336829,-72.44,42.14,MASSACHUSETTS,NORTH WILBRAHAM,2501095
56119,336826,-72.48,42.17,MASSACHUSETTS,LUDLOW,2501056
1215195,5521330,-72.41667,42.06667,MASSACHUSETTS,HAMPDEN,2501036
56119,336808,-72.54,42.12,MASSACHUSETTS,EAST SPRINGFIELD,2501109
119932,718806,-70.96,42.47,MASSACHUSETTS,LYNN,2501904
1215195,5521328,-72.2,42.35,MASSACHUSETTS,HARDWICK,2501037
1215195,5521327,-70.0,42.66667,MASSACHUSETTS,BOXFORD,
56119,336598,-72.57,42.18,MASSACHUSETTS,WILLIMANSETT,2501020
73661,445661,-73.4628,42.0847,MASSACHUSETTS,MT WASHINGTON,2501258
73661,445662,-73.06,42.51,MASSACHUSETTS,WINDSOR,2501226
56119,336599,-72.54,42.12,MASSACHUSETTS,EAST SPRINGFIELD,2501109
55386,332398,-72.88,42.23,MASSACHUSETTS,LITTLEVILLE,2501050
98294,591447,-73.3629,42.1951,MASSACHUSETTS,GREAT BARRINGTON,2501230
51460,305925,-71.7,42.67,MASSACHUSETTS,TOWNSEND,2501469
9017,51299,-72.62,42.7,MASSACHUSETTS,NORTHFIELD,2501337
1100633,5155163,-73.31667,42.55,MASSACHUSETTS,HANCOCK,2501237
7770,44727,-70.82,41.95,MASSACHUSETTS,PLYMPTON,2502367
1215202,5521441,-72.48333000000001,42.16667,MASSACHUSETTS,LUDLOW,2501056
1215200,5521355,-70.61667,41.55,MASSACHUSETTS,FALMOUTH,2502540
1215200,5521354,-70.68333,41.38333,MASSACHUSETTS,WEST TISBURY,2502575
51460,305924,-71.83,42.2,MASSACHUSETTS,AUBURN,2501501
98294,591453,-73.2123,42.1791,MASSACHUSETTS,MONTEREY,2501245
98294,591452,-73.0581,42.5115,MASSACHUSETTS,WINDSOR,2501226
98294,591451,-73.4064,42.1653,MASSACHUSETTS,SOUTH EGREMONT,2501230
98294,591450,-73.1665,42.4733,MASSACHUSETTS,DALTON,2501226
51460,305927,-71.29,41.94,MASSACHUSETTS,ATTLEBORO,2502703
131567,787027,-70.6627,41.5346,MASSACHUSETTS,WOODS HOLE,2502543
51460,305926,-71.35,42.28,MASSACHUSETTS,NATICK,2501760
19289,113795,-72.83,42.67,MASSACHUSETTS,HEATH,2501346
55371,332342,-72.48,42.17,MASSACHUSETTS,LUDLOW,2501056
56119,336597,-72.57,42.18,MASSACHUSETTS,WILLIMANSETT,2501020
56119,336595,-72.65,42.12,MASSACHUSETTS,WEST SPRINGFIELD,2501089
1179715,5422697,-71.78333,42.36667,MASSACHUSETTS,LOWELL,2501583
1179715,5422697,-71.63333,42.31667,MASSACHUSETTS,LOWELL,2501532
1179715,5422699,-71.56667,42.4,MASSACHUSETTS,ANDOVER,2501749
1192393,5459688,-72.88333,42.63333,MASSACHUSETTS,CHARLEMONT,2501339
19289,113795,-72.88,42.63,MASSACHUSETTS,CHARLEMONT,2501339
75484,455732,-71.29,42.3,MASSACHUSETTS,WELLESLEY,2502482
1192400,5459697,-72.61667,42.7,MASSACHUSETTS,NORTHFIELD,2501337
75484,455731,-72.03,42.08,MASSACHUSETTS,SOUTHBRIDGE,2501550
